district,candidate,party,preferences
Colombo,ANURA KUMARA DISSANAYAKE,NPP,17902
Colombo,SAJITH PREMADASA,SJB,35488
Gampaha,ANURA KUMARA DISSANAYAKE,NPP,12217
Gampaha,SAJITH PREMADASA,SJB,16683
Kalutara,ANURA KUMARA DISSANAYAKE,NPP,6135
Kalutara,SAJITH PREMADASA,SJB,8517
Mahanuwara,ANURA KUMARA DISSANAYAKE,NPP,8020
Mahanuwara,SAJITH PREMADASA,SJB,9188
Matale,ANURA KUMARA DISSANAYAKE,NPP,1909
Matale,SAJITH PREMADASA,SJB,2211
Nuwaraeliya,ANURA KUMARA DISSANAYAKE,NPP,3162
Nuwaraeliya,SAJITH PREMADASA,SJB,5440
Galle,ANURA KUMARA DISSANAYAKE,NPP,4714
Galle,SAJITH PREMADASA,SJB,5828
Matara,ANURA KUMARA DISSANAYAKE,NPP,3130
Matara,SAJITH PREMADASA,SJB,4505
Hambantota,ANURA KUMARA DISSANAYAKE,NPP,1763
Hambantota,SAJITH PREMADASA,SJB,3093
Jaffna,ANURA KUMARA DISSANAYAKE,NPP,8174
Jaffna,SAJITH PREMADASA,SJB,21511
Vanni,ANURA KUMARA DISSANAYAKE,NPP,2390
Vanni,SAJITH PREMADASA,SJB,6162
Batticaloa,ANURA KUMARA DISSANAYAKE,NPP,4467
Batticaloa,SAJITH PREMADASA,SJB,7191
Digamadulla,ANURA KUMARA DISSANAYAKE,NPP,3391
Digamadulla,SAJITH PREMADASA,SJB,4814
Trincomalee,ANURA KUMARA DISSANAYAKE,NPP,1930
Trincomalee,SAJITH PREMADASA,SJB,4119
Kurunegala,ANURA KUMARA DISSANAYAKE,NPP,6408
Kurunegala,SAJITH PREMADASA,SJB,7920
Puttalam,ANURA KUMARA DISSANAYAKE,NPP,2149
Puttalam,SAJITH PREMADASA,SJB,3103
Anuradhapura,ANURA KUMARA DISSANAYAKE,NPP,2773
Anuradhapura,SAJITH PREMADASA,SJB,3537
Polonnaruwa,ANURA KUMARA DISSANAYAKE,NPP,1041
Polonnaruwa,SAJITH PREMADASA,SJB,1641
Badulla,ANURA KUMARA DISSANAYAKE,NPP,3437
Badulla,SAJITH PREMADASA,SJB,4760
Monaragala,ANURA KUMARA DISSANAYAKE,NPP,1395
Monaragala,SAJITH PREMADASA,SJB,1820
Ratnapura,ANURA KUMARA DISSANAYAKE,NPP,4888
Ratnapura,SAJITH PREMADASA,SJB,6022
Kegalle,ANURA KUMARA DISSANAYAKE,NPP,3869
Kegalle,SAJITH PREMADASA,SJB,4314
