district,polling_division
Colombo,Postal Votes
Colombo,ColomboNorth
Colombo,ColomboCentral
Colombo,Borella
Colombo,ColomboEast
Colombo,ColomboWest
Colombo,Dehiwala
Colombo,Ratmalana
Colombo,Kolonnawa
Colombo,Kotte
Colombo,Kaduwela
Colombo,Avissawella
Colombo,Homagama
Colombo,Maharagama
Colombo,Kesbewa
Colombo,Moratuwa
Gampaha,Postal Votes
Gampaha,Wattala
Gampaha,Negambo
Gampaha,Katana
Gampaha,Divulapitiya
Gampaha,Mirigama
Gampaha,Minuwangoda
Gampaha,Attanagalla
Gampaha,Gampaha
Gampaha,Ja-Ela
Gampaha,Mahara
Gampaha,Dompe
Gampaha,Biyagama
Gampaha,Kelaniya
Kalutara,Postal Votes
Kalutara,Panadura
Kalutara,Bandaragama
Kalutara,Horana
Kalutara,Bulathsinhala
Kalutara,Matugama
Kalutara,Kalutara
Kalutara,Beruwala
Kalutara,Agalawatta
Mahanuwara,Postal Votes
Mahanuwara,Galagedara
Mahanuwara,Harispattuwa
Mahanuwara,Patadumbara
Mahanuwara,Udadumbara
Mahanuwara,Teldeniya
Mahanuwara,Kundasale
Mahanuwara,Hewahata
Mahanuwara,Senkadagala
Mahanuwara,Mahanuwara
Mahanuwara,Yatinuwara
Mahanuwara,Udunuwara
Mahanuwara,Gampola
Mahanuwara,Nawalapitiya
Matale,Postal Votes
Matale,Dambulla
Matale,Laggala
Matale,Matale
Matale,Rattota
Nuwaraeliya,Postal Votes
Nuwaraeliya,N.E.Maskeliya
Nuwaraeliya,Kothmale
Nuwaraeliya,Hanguranketha
Nuwaraeliya,Walapane
Galle,Postal Votes
Galle,Balapitiya
Galle,Ambalangoda
Galle,Karandeniya
Galle,BentaraElpitiya
Galle,Hiniduma
Galle,Baddegama
Galle,Ratgama
Galle,Galle
Galle,Akmeemana
Galle,Habaraduwa
Matara,Postal Votes
Matara,Deniyaya
Matara,Hakmana
Matara,Akuressa
Matara,Kamburupitiya
Matara,Devinuwara
Matara,Matara
Matara,Weligama
Hambantota,Postal Votes
Hambantota,Mulkirigala
Hambantota,Beliatta
Hambantota,Tangalle
Hambantota,Tissamaharama
Jaffna,Postal Votes
Jaffna,Kayts
Jaffna,Vadducoddai
Jaffna,Kankesanthurai
Jaffna,Manipay
Jaffna,Kopai
Jaffna,Uduppiddy
Jaffna,Point-Pedro
Jaffna,Chavakachcheri
Jaffna,Nallur
Jaffna,Jaffna
Jaffna,Kilinochchi
Vanni,Postal Votes
Vanni,Mannar
Vanni,Vavuniya
Vanni,Mulaithivu
Batticaloa,Postal Votes
Batticaloa,Kalkuda
Batticaloa,Batticaloa
Batticaloa,Paddiruppu
Digamadulla,Postal Votes
Digamadulla,Ampara
Digamadulla,Sammanthurai
Digamadulla,Kalmunai
Digamadulla,Pothuvil
Trincomalee,Postal Votes
Trincomalee,Seruwila
Trincomalee,Trincomalee
Trincomalee,Muthur
Kurunegala,Postal Votes
Kurunegala,Galgamuwa
Kurunegala,Nikaweratiya
Kurunegala,Yapahuwa
Kurunegala,Hiriyala
Kurunegala,Wariyapola
Kurunegala,Paduwasnuwara
Kurunegala,Bingiriya
Kurunegala,Katugampola
Kurunegala,Kuliyapitiya
Kurunegala,Dambadeniya
Kurunegala,Polgahawela
Kurunegala,Kurunegala
Kurunegala,Mawathagama
Kurunegala,Dodangaslanda
Puttalam,Postal Votes
Puttalam,Puttalam
Puttalam,Anamaduwa
Puttalam,Chillaw
Puttalam,Nattandiya
Puttalam,Wennappuwa
Anuradhapura,Postal Votes
Anuradhapura,Medawachchiya
Anuradhapura,Horowpathana
Anuradhapura,AnuradhapuraEast
Anuradhapura,AnuradhapuraWest
Anuradhapura,Kalawewa
Anuradhapura,Mihinthale
Anuradhapura,Kekirawa
Polonnaruwa,Postal Votes
Polonnaruwa,Minneriya
Polonnaruwa,Medirigiriya
Polonnaruwa,Polonnaruwa
Badulla,Postal Votes
Badulla,Mahiyangana
Badulla,Wiyaluwa
Badulla,Passara
Badulla,Badulla
Badulla,Haliela
Badulla,Uvaparanagama
Badulla,Welimada
Badulla,Bandarawela
Badulla,Haputhale
Monaragala,Postal Votes
Monaragala,Bibila
Monaragala,Moneragala
Monaragala,Wellawaya
Ratnapura,Postal Votes
Ratnapura,Eheliyagoda
Ratnapura,Ratnapura
Ratnapura,Pelmadulla
Ratnapura,Balangoda
Ratnapura,Rakwana
Ratnapura,Nivithigala
Ratnapura,Kalawana
Ratnapura,Kolonna
Kegalle,Postal Votes
Kegalle,Dedigama
Kegalle,Galigamuwa
Kegalle,Kegalle
Kegalle,Rambukkana
Kegalle,Mawanella
Kegalle,Aranayake
Kegalle,Yatiyantota
Kegalle,Ruwanwella
Kegalle,Deraniyagala
