district,candidate,party,votes_received
Colombo,AKMEEMANA DAYARATHANA THERO,IND1,10
Colombo,ABUBAKAR MOHAMED INFAS,DUA,1
Colombo,SIRIPALA AMARASINGHE,IND2,3
Colombo,K.K. PIYADASA,IND4,11
Colombo,SARATH KEERTHIRATHNA,IND5,2
Colombo,K.A. KULARATNA,IND6,2
Colombo,K.R. KRISHAN,APP,1
Colombo,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,0
Colombo,DILITH JAYAWEERA,SLCP,552
Colombo,SIRITUNGA JAYASURIYA,USP,4
Colombo,MYLVAGANAM THILAKARAJAH,IND8,2
Colombo,AGAMPODI PRASANGA SURANJEEWA ANOJ DE SILVA,DUNF,51
Colombo,LALITH DE SILVA,UNFF,5
Colombo,AJANTHA DE ZOYSA,RJA,5
Colombo,ANURA KUMARA DISSANAYAKE,NPP,20864
Colombo,MAHINDA DEWAGE,SLSP,1
Colombo,ARIYANETHIRAN PAKKIYASELVAM,IND9,63
Colombo,VICTOR PERERA,IND10,0
Colombo,ANURUDDHA POLGAMPALA,IND11,3
Colombo,SAJITH PREMADASA,SJB,4080
Colombo,SARATH FONSEKA,IND12,63
Colombo,DISSANAYAKA MUDIYANSELAGE BANDARANAYAKE,IND13,12
Colombo,SARATH BANDARANAYAKE,NDF,3
Colombo,BATHTHARAMULLE SEELARATHANA THERO,JSP,28
Colombo,NUWAN BOPEGE,SPF,46
Colombo,SARATH MANAMENDRA,NSU,4
Colombo,PEMASIRI MANAGE,IND14,2
Colombo,ANURUDDHA ROSHAN RANASINGHE,IND15,16
Colombo,JANAKA RATNAYAKE,ELPP,3
Colombo,NAMAL RAJAPAKSHA,SBP,32
Colombo,NAMAL RAJAPAKSA,SLPP,561
Colombo,WIJEYADASA RAJAPAKSHE,JPF,73
Colombo,A.S.P. LIYANAGE,SLLP,2
Colombo,KEERTHIE WICKRAMARATNE,AJP,15
Colombo,PRIYANTHA WICKRAMASINGHE,NSSP,17
Colombo,RANIL WICKREMESINGHE,IND16,7645
Colombo,PANI WIJESIRIWARDENA,SEP,5
Colombo,OSHALA HERATH,NIF,3
Gampaha,AKMEEMANA DAYARATHANA THERO,IND1,21
Gampaha,ABUBAKAR MOHAMED INFAS,DUA,1
Gampaha,SIRIPALA AMARASINGHE,IND2,9
Gampaha,K.K. PIYADASA,IND4,17
Gampaha,SARATH KEERTHIRATHNA,IND5,5
Gampaha,K.A. KULARATNA,IND6,0
Gampaha,K.R. KRISHAN,APP,4
Gampaha,PALLIMULLA KAPUGAMAGE ANURA SIDNEY JAYARATHNA,IND7,0
Gampaha,DILITH JAYAWEERA,SLCP,441
Gampaha,SIRITUNGA JAYASURIYA,USP,4
Gampaha,MYLVAGANAM THILAKARAJAH,IND8,3
